Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
2025-02-18,2025,2,18,Tuesday,07,2025-07,732.38,733.38,702.97,712.85,21938700,-0.027556325491328804,705.7892857142857,658.3687096774194
2025-02-19,2025,2,19,Wednesday,07,2025-07,700.64,703.52,691.97,700.31,17535500,-0.017588671355483476,707.7285714285715,659.6793749999999
2025-02-20,2025,2,20,Thursday,07,2025-07,693.85,702.16,690.23,691.42,12587400,-0.012688933868439722,708.2857142857141,660.6412121212121
2025-02-21,2025,2,21,Friday,07,2025-07,693.15,700.41,679.0,680.19,15660400,-0.016248384019971307,707.8857142857142,661.2161764705882
2025-02-24,2025,2,24,Monday,08,2025-08,682.9,683.89,659.19,664.84,15677000,-0.02255855266044693,705.8007142857142,661.3197142857142
2025-02-25,2025,2,25,Tuesday,08,2025-08,662.69,664.71,638.7,654.27,20579700,-0.01591013955821463,702.4821428571429,661.1238888888888
2025-02-26,2025,2,26,Wednesday,08,2025-08,656.41,679.65,654.76,670.39,14488700,0.02463875167265317,700.2671428571429,661.3743243243243
2025-02-27,2025,2,27,Thursday,08,2025-08,679.09,685.26,654.34,655.0,12500000,-0.022947917583752697,696.4464285714286,661.2065789473684
2025-02-28,2025,2,28,Friday,08,2025-08,654.8,666.34,639.44,664.91,17534200,0.01513144407709599,693.1535714285714,661.3015384615384
2025-03-03,2025,3,3,Monday,09,2025-09,670.37,677.9,647.64,651.83,10843800,-0.019679833125633817,688.7221428571428,661.06475
2025-03-04,2025,3,4,Tuesday,09,2025-09,642.34,646.55,620.58,636.85,21495200,-0.02297521253932633,683.05,660.4741463414634
2025-03-05,2025,3,5,Wednesday,09,2025-09,637.85,656.26,634.52,653.24,13770000,0.02573405807907614,678.1521428571428,660.3019047619048
2025-03-06,2025,3,6,Thursday,09,2025-09,644.81,647.36,621.04,624.84,13446500,-0.04347481598572023,670.9992857142857,659.4772093023256
2025-03-07,2025,3,7,Friday,09,2025-09,622.29,631.67,597.66,622.58,21375700,-0.0036149789536488175,663.1085714285715,658.6386363636364
2025-03-10,2025,3,10,Monday,10,2025-10,605.08,607.11,583.98,595.05,21999900,-0.044225537910489,654.6942857142858,657.2255555555556
2025-03-11,2025,3,11,Tuesday,10,2025-10,592.12,611.91,590.41,602.73,17401500,0.012910084213415551,647.7242857142857,656.0408695652175
2025-03-12,2025,3,12,Wednesday,10,2025-10,626.8,630.21,606.35,616.51,15747000,0.022865696513528544,642.3735714285715,655.1997872340426
2025-03-13,2025,3,13,Thursday,10,2025-10,617.2,617.45,583.63,587.73,16480300,-0.046678211462215846,635.7692857142857,653.7941666666667
